id,name,department,salary,hire_date,is_active
1,Employee_0001,Marketing,40101,2020-02-02,True
2,Employee_0002,Sales,40202,2020-03-03,True
3,Employee_0003,HR,40303,2020-04-04,True
4,Employee_0004,Finance,40404,2020-05-05,True
5,Employee_0005,Engineering,40505,2020-06-06,True
6,Employee_0006,Marketing,40606,2020-07-07,True
7,Employee_0007,Sales,40707,2020-08-08,True
8,Employee_0008,HR,40808,2020-09-09,True
9,Employee_0009,Finance,40909,2020-10-10,True
10,Employee_0010,Engineering,41010,2020-11-11,False
11,Employee_0011,Marketing,41111,2020-12-12,True
12,Employee_0012,Sales,41212,2020-01-13,True
13,Employee_0013,HR,41313,2020-02-14,True
14,Employee_0014,Finance,41414,2020-03-15,True
15,Employee_0015,Engineering,41515,2020-04-16,True
16,Employee_0016,Marketing,41616,2020-05-17,True
17,Employee_0017,Sales,41717,2020-06-18,True
18,Employee_0018,HR,41818,2020-07-19,True
19,Employee_0019,Finance,41919,2020-08-20,True
20,Employee_0020,Engineering,42020,2020-09-21,False
21,Employee_0021,Marketing,42121,2020-10-22,True
22,Employee_0022,Sales,42222,2020-11-23,True
23,Employee_0023,HR,42323,2020-12-24,True
24,Employee_0024,Finance,42424,2020-01-25,True
25,Employee_0025,Engineering,42525,2020-02-26,True
26,Employee_0026,Marketing,42626,2020-03-27,True
27,Employee_0027,Sales,42727,2020-04-28,True
28,Employee_0028,HR,42828,2020-05-01,True
29,Employee_0029,Finance,42929,2020-06-02,True
30,Employee_0030,Engineering,43030,2020-07-03,False
31,Employee_0031,Marketing,43131,2020-08-04,True
32,Employee_0032,Sales,43232,2020-09-05,True
33,Employee_0033,HR,43333,2020-10-06,True
34,Employee_0034,Finance,43434,2020-11-07,True
35,Employee_0035,Engineering,43535,2020-12-08,True
36,Employee_0036,Marketing,43636,2020-01-09,True
37,Employee_0037,Sales,43737,2020-02-10,True
38,Employee_0038,HR,43838,2020-03-11,True
39,Employee_0039,Finance,43939,2020-04-12,True
40,Employee_0040,Engineering,44040,2020-05-13,False
41,Employee_0041,Marketing,44141,2020-06-14,True
42,Employee_0042,Sales,44242,2020-07-15,True
43,Employee_0043,HR,44343,2020-08-16,True
44,Employee_0044,Finance,44444,2020-09-17,True
45,Employee_0045,Engineering,44545,2020-10-18,True
46,Employee_0046,Marketing,44646,2020-11-19,True
47,Employee_0047,Sales,44747,2020-12-20,True
